Date,BAJFINANCE.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,NIFTYBEES.NS,RELIANCE.NS,TCS.NS
2021-11-01 00:00:00+00:00,7319.05419921875,702.1904907226562,1547.723388671875,2302.128662109375,779.3722534179688,1580.2923583984375,205.2661895751953,2071.27294921875,1739.158935546875,193.83999633789062,1151.3253173828125,3271.8486328125
2021-11-02 00:00:00+00:00,7359.92431640625,703.6195068359375,1549.1212158203125,2313.41357421875,776.5122680664062,1578.2938232421875,204.1351318359375,2071.4228515625,1758.8236083984375,193.10000610351562,1134.539306640625,3279.189208984375
2021-11-03 00:00:00+00:00,7420.044921875,688.9843139648438,1524.7286376953125,2306.193603515625,761.969970703125,1582.569580078125,201.28482055664062,2032.4212646484375,1830.362060546875,192.5800018310547,1126.736328125,3286.765869140625
2021-11-04 00:00:00+00:00,7428.78173828125,690.9553833007812,1536.7803955078125,2317.191650390625,758.2373657226562,1588.3328857421875,204.99472045898438,2051.822265625,1849.2034912109375,193.58999633789062,1133.6546630859375,3302.20068359375
2021-11-08 00:00:00+00:00,7575.4296875,698.7411499023438,1542.8543701171875,2325.846923828125,756.346923828125,1615.1041259765625,207.9355010986328,2113.5166015625,1864.315185546875,195.3699951171875,1135.0611572265625,3296.648193359375
2021-11-09 00:00:00+00:00,7480.5107421875,702.8804321289062,1515.8587646484375,2325.129638671875,762.5516357421875,1619.7518310546875,206.98538208007812,2091.9208984375,1882.76904296875,194.8800048828125,1144.0211181640625,3299.424560546875
2021-11-10 00:00:00+00:00,7484.41015625,724.8084106445312,1499.468505859375,2295.481201171875,757.0740356445312,1617.5675048828125,208.88558959960938,2070.82421875,1889.114013671875,194.66000366210938,1156.814697265625,3279.283447265625
2021-11-11 00:00:00+00:00,7357.30859375,718.0574951171875,1492.7677001953125,2272.576171875,747.9122924804688,1611.2000732421875,208.11648559570312,2048.929931640625,1871.241455078125,193.25,1158.9241943359375,3282.953857421875
2021-11-12 00:00:00+00:00,7482.09033203125,732.741943359375,1497.2991943359375,2300.072265625,752.9051513671875,1654.7962646484375,210.7405548095703,2069.4775390625,1898.6072998046875,195.4600067138672,1176.4132080078125,3318.5771484375
2021-11-15 00:00:00+00:00,7437.814453125,726.8779907226562,1501.396728515625,2319.009033203125,749.7058715820312,1661.2568359375,215.44580078125,2092.020751953125,1886.1109619140625,195.52000427246094,1169.47216796875,3344.2236328125
2021-11-16 00:00:00+00:00,7458.990234375,719.7329711914062,1492.478515625,2301.697998046875,740.7380981445312,1666.0439453125,213.0479278564453,2077.607421875,1894.1029052734375,194.47000122070312,1142.2972412109375,3347.14111328125
2021-11-17 00:00:00+00:00,7510.27490234375,709.6311645507812,1475.8953857421875,2286.8740234375,738.0719604492188,1661.5355224609375,216.71258544921875,2047.93212890625,1891.7779541015625,193.52999877929688,1117.8443603515625,3314.6708984375
2021-11-18 00:00:00+00:00,7389.1455078125,704.013671875,1484.1868896484375,2294.764404296875,739.6232299804688,1654.052734375,214.9028778076172,2019.3541259765625,1837.6275634765625,192.13999938964844,1122.0634765625,3271.189208984375
2021-11-22 00:00:00+00:00,6967.9560546875,731.3621826171875,1460.9993896484375,2284.3876953125,729.0557861328125,1635.461669921875,208.9308319091797,1950.52783203125,1806.14453125,188.52999877929688,1072.36376953125,3254.907470703125
2021-11-23 00:00:00+00:00,7023.2392578125,747.9191284179688,1461.1925048828125,2289.791015625,728.910400390625,1614.5465087890625,209.56423950195312,1977.9088134765625,1827.310791015625,189.39999389648438,1082.3900146484375,3260.41357421875
2021-11-24 00:00:00+00:00,7085.43310546875,747.9191284179688,1463.602783203125,2271.189453125,737.005615234375,1576.527587890625,206.03530883789062,2006.3370361328125,1804.207275390625,188.25,1066.7611083984375,3240.696044921875
2021-11-25 00:00:00+00:00,7034.59228515625,754.0787353515625,1471.2193603515625,2246.60986328125,728.134765625,1601.0677490234375,209.2927703857422,2029.9774169921875,1792.0015869140625,189.50999450683594,1130.97802734375,3243.1435546875
2021-11-26 00:00:00+00:00,6719.921875,728.0607299804688,1436.4622802734375,2233.2685546875,700.1649780273438,1572.4840087890625,202.68734741210938,1959.355712890625,1722.497314453125,184.50999450683594,1094.525634765625,3244.037841796875
2021-11-29 00:00:00+00:00,6817.35888671875,728.6520385742188,1447.4052734375,2227.81689453125,696.48095703125,1576.8529052734375,200.4252166748047,2014.516357421875,1711.9383544921875,184.5500030517578,1107.63671875,3295.9423828125
2021-11-30 00:00:00+00:00,6907.68798828125,717.7125854492188,1439.9814453125,2216.48388671875,692.5545654296875,1592.0047607421875,200.1085205078125,1956.961669921875,1709.5166015625,183.6999969482422,1091.2591552734375,3321.494140625
2021-12-01 00:00:00+00:00,6948.607421875,711.7994384765625,1450.683349609375,2242.593505859375,705.4971313476562,1594.09619140625,200.7871551513672,1948.43310546875,1730.1015625,185.72000122070312,1119.205322265625,3367.281982421875
2021-12-02 00:00:00+00:00,7088.59228515625,721.9503173828125,1471.026611328125,2279.366455078125,700.3589477539062,1625.096923828125,203.99937438964844,1959.3056640625,1733.201416015625,187.99000549316406,1126.3958740234375,3428.55126953125
2021-12-03 00:00:00+00:00,6978.76611328125,707.955810546875,1459.26416015625,2241.445556640625,694.4450073242188,1613.291748046875,200.56094360351562,1909.3817138671875,1744.874267578125,186.0,1092.55224609375,3426.245849609375
